namespace,cbb_err_msg
AUICME0033,외부 코드의 조회를 먼저 해야합니다. 외부 코드의 코드번호를 조회해주세요.
AUICME0034,변경된 자료가 없습니다. 입력 값을 확인하십시요.
AUICME0035,첨부파일 등록 중 오류가 발생했습니다. 시스템 담당자한테 문의하세요.
AUICME0036,비밀번호와 비밀번호 확인 값이 다릅니다. 비밀번호와 비밀번호 확인 값을 동일하게 바꿔주세요.
AUICME0037,시작일이 종료일보다 클 수 없습니다. 입력값을 확인해 주세요.
AUICME0038,화면에 대한 권한이 없습니다. 시스템 담당자한테 문의 하세요
AUICME0039,로그인 후 서비스이용이 가능합니다.  
AUICME0039,로그인을 먼저 하세요.  
AUICME0040,계좌 정보 보안을 위해 로그인을 먼저 하세요.  
AUICME0040,계좌 정보 보안을 위해 로그인을 먼저 하세요.  
AUICME0041,잘못된 경로로 접근하셨습니다.  
AUICME0042,거래가능시작시간이 거래가능종료시간 보다 큽니다. 입력값을 확인 하십시오.
AUICME0043,시간 형식에 맞지 않습니다. 입력값을 확인 하십시오.
AUICME0044,저장할 자료가 없습니다. 입력 값을 확인하십시요.
AUICME0045,확인해주세요.테스트 확인해주세요.테스트
AUICME0046,문자가 포함되어 있습니다. 확인후 조치 하십시오.
AUICME0047,시분초 형식이 아닙니다. 확인후 조치 하십시오.
AUICME0048,시(HH)는 23 시를 초과 할수 없습니다. 확인후 조치 하십시오.
AUICME0049,분(MM)은 59분을 초과 할수 없습니다. 확인후 조치 하십시오.
AUICME0050,초(ss)는 59초를 초과 할수 없습니다. 확인후 조치 하십시오.
AUICME0051,배치인스턴스를 등록할 배치정보를 찾을 수 없습니다. 배치작업식별자를 정확히 입력하거나 배치작업 등록후 거래 하십시오.
AUICME0052,속성길이 필수 항목입니다. 속성 길이를 확인해주세요.
AUICME0053,로그인언어속성명 항목은 필수 항목입니다. 로그인언어속성명 항목 값 확인바랍니다.
AUICME0054,취소 가능 서비스가 아닙니다. 시스템 담당자에게 문의하세요.
AUICME0055,이미 취소/정정된 건입니다. 입력 값을 확인하십시요.
AUICME0056,표준기관[STDA]에 해당하는 속성은 타 기관에서 삭제 불가합니다. 표준의 데이터는 표준기관[STDA]에서만 삭제 가능합니다. 확인바랍니다.
AUICME0057,표준영문약어는 6자리 이상 등록 할 수 없습니다. 업무 담당자에게 문의하세요.
AUICME0058,대상설정기관[CBP ADMIN WEB]으로 설정 후 저장 바랍니다. 대상설정기관[CBP ADMIN WEB]으로 설정 후 저장 바랍니다.
AUICME0059,해당 기관에 채번속성정보가 없으므로 [STDA]기관 기준으로 화면에 출력되니 값 등록(변경) 바랍니다. 자세한 내용은 IT 담당자에게 문의하세요.
AUICME0060,메뉴에 대한 저장 문의는 공통팀에 요청해주세요. 메뉴에 대한 저장 문의는 공통팀에 요청해주세요.
AUICME0061,중요증서분류 항목은 필수입력 입니다. 입력 값 확인하세요.
AUICME0062,배포요청 가능한 요건정보가 없습니다. 배포대상 요건정보를 등록해주세요.
AUICME0063,운영계 배포 완료된 과제는 취소를 할 수 없습니다. 신규과제로 배포 요청 하셔야 합니다.
AUICME0064,은(는) 
AUICME0065,예약배포에서만 처리 가능합니다. IT담당자에게 문의해 주세요.
AUICME0066,처리가능한 상태가 아닙니다. IT담당자에게 문의해 주세요.
AUICME0067,메뉴체계가 있는  사용자그룹/채널구분은 지울 수 없습니다. 메뉴체계를 먼저 삭제해주세요.
AUICME0068,메뉴체계가 있는 사용자그룹/채널 구분은 지울 수 없습니다. 메뉴체계를 먼저 삭제해주세요.
AUICME0069,상위 클래스가 없습니다. 다시 확인해주세요.
AUICME0070,반영할 내용이 없습니다. 조회를 해주세요.
